2103872 set_mempolicy(MPOL_BIND, [0x00000000000003], 65) = 0
2103872 sched_setaffinity(0, 1024, [1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 125 127 129 131 133 135 137 139 141 143 145 147 149 151 153 155 157 159 161 163 165 167 169 171 173 175 177 179 181 183 185 187 189 191 193 195 197 199 201 203 205 207 209 211 213 215 217 219 221 223 225 227 229 231 233 235 237 239 241 243 245 247 249 251 253 255 ...]) = 0
2103872 set_mempolicy(MPOL_PREFERRED, [0x00000000000002], 65) = 0
2103920 mbind(0x3d379800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d379c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37a000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37a400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37a800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37ac00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37b000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37b400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37b800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37bc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37c000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37c400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37c800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37cc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37d000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37d400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37d800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103920 mbind(0x3d37dc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
